time,open,high,low,close,Volume,Volume MA
1594245600,47.343,47.343,47.343,47.343,0,0
1594332000,48.539,48.539,48.539,48.539,0,0
1594591200,47.503,47.503,47.503,47.503,0,0
1594677600,46.887,46.887,46.887,46.887,0,0
1594764000,47.76,47.76,47.76,47.76,0,0
1594850400,46.599,46.599,46.599,46.599,0,0
1594936800,46.286,46.286,46.286,46.286,0,0
1595196000,46.222,46.222,46.222,46.222,0,0
1595800800,46.696,46.696,46.696,46.696,0,0
1595887200,46.462,46.462,46.462,46.462,0,0
1595973600,46.056,46.056,46.056,46.056,0,0
1596060000,44.906,44.906,44.906,44.906,0,0
1596146400,44.274,44.274,44.274,44.274,0,0
1596405600,45.966,45.966,45.966,45.966,0,0
1596492000,46.539,46.539,46.539,46.539,0,0
1596578400,47.55,47.55,47.55,47.55,0,0
1596664800,48.119,48.119,48.119,48.119,0,0
1596751200,47.822,47.822,47.822,47.822,0,0
1597010400,48.605,48.605,48.605,48.605,0,0
1597096800,47.771,47.771,47.771,47.771,0,0
1597183200,49.038,49.038,49.038,49.038,0,0
1597269600,48.699,48.699,48.699,48.699,0,0
1597356000,48.813,48.813,48.813,48.813,0,0
1597615200,49.243,49.243,49.243,49.243,0,0
1597701600,50.049,50.049,50.049,50.049,0,0
1597788000,50.02,50.02,50.02,50.02,0,0
1597874400,49.665,49.665,49.665,49.665,0,0
1597960800,49.064,49.064,49.064,49.064,0,0
1598479200,49.113,49.113,49.113,49.113,0,0
1598997600,47.825,47.825,47.825,47.825,0,0
1599084000,47.799,47.799,47.799,47.799,0,0
1599170400,46.996,46.996,46.996,46.996,0,0
1599516000,44.303,44.303,44.303,44.303,0,0
1599602400,44.916,44.916,44.916,44.916,0,0
1599688800,44.048,44.048,44.048,44.048,0,0
1599775200,44.416,44.416,44.416,44.416,0,0
1600034400,45.225,45.225,45.225,45.225,0,0
1600120800,46.367,46.367,46.367,46.367,0,0
1600207200,48.192,48.192,48.192,48.192,0,0
1600293600,49.471,49.471,49.471,49.471,0,0
1600380000,49.954,49.954,49.954,49.954,0,0
1600639200,47.317,47.317,47.317,47.317,0,0
1600725600,47.044,47.044,47.044,47.044,0,0
1600812000,47.544,47.544,47.544,47.544,0,0
1600898400,48.084,48.084,48.084,48.084,0,0
1600984800,48.576,48.576,48.576,48.576,0,0
